EPOCH,NORAD_CAT_ID,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION_DOT,BSTAR,TLE_LINE1,TLE_LINE2
2022-01-16 14:00:01.000224,50803,15.86090665,0.00149270,53.2173,151.4796,222.3463,18.8305,-0.00805625,-0.00343940000000,1 50803U 22001A   22016.58334491 -.00805625  00000-0 -34394-2 0  9992,2 50803  53.2173 151.4796 0014927 222.3463  18.8305 15.86090665  2077
2022-01-16 22:00:00.999936,50803,15.85524778,0.00130040,53.2171,149.7994,231.2424,114.0002,-0.00838695,-0.00370560000000,1 50803U 22001A   22016.91667824 -.00838695  00000-0 -37056-2 0  9999,2 50803  53.2171 149.7994 0013004 231.2424 114.0002 15.85524778  2121
2022-01-17 12:00:00.999648,50803,15.84499664,0.00099030,53.2176,146.8610,253.4955,182.1824,-0.00838987,-0.00391210000000,1 50803U 22001A   22017.50001157 -.00838987  00000-0 -39121-2 0  9995,2 50803  53.2176 146.8610 0009903 253.4955 182.1824 15.84499664  2972
2022-01-17 14:00:01.000224,50803,15.84333775,0.00094460,53.2175,146.4422,256.3378,294.9470,-0.00805549,-0.00377410000000,1 50803U 22001A   22017.58334491 -.00805549  00000-0 -37741-2 0  9997,2 50803  53.2175 146.4422 0009446 256.3378 294.9470 15.84333775  2239
2022-01-17 22:00:00.999936,50803,15.83751765,0.00080690,53.2172,144.7661,265.7933,27.4509,-0.00810004,-0.00391020000000,1 50803U 22001A   22017.91667824 -.00810004  00000-0 -39102-2 0  9998,2 50803  53.2172 144.7661 0008069 265.7933  27.4509 15.83751765  2282
2022-01-18 04:00:01.999584,50803,15.83306875,0.00057650,53.2173,143.5083,268.0900,11.2323,-0.00800932,-0.00395330000000,1 50803U 22001A   22018.16668981 -.00800932  00000-0 -39533-2 0  9998,2 50803  53.2173 143.5083 0005765 268.0900  11.2323 15.83306875  3079
2022-01-18 14:00:01.000224,50803,15.82597525,0.00039950,53.2171,141.4181,227.1884,267.8606,-0.00840654,-0.00431670000000,1 50803U 22001A   22018.58334491 -.00840654  00000-0 -43167-2 0  9993,2 50803  53.2171 141.4181 0003995 227.1884 267.8606 15.82597525  2393
2022-01-18 20:00:01.999872,50803,15.82157625,0.00038580,53.2172,140.1645,244.5528,235.5145,-0.00838941,-0.00439790000000,1 50803U 22001A   22018.83335648 -.00838941  00000-0 -43979-2 0  9993,2 50803  53.2172 140.1645 0003858 244.5528 235.5145 15.82157625  3182
2022-01-18 22:00:00.999936,50803,15.81998684,0.00034640,53.2172,139.7460,234.9197,359.9830,-0.00818045,-0.00431110000000,1 50803U 22001A   22018.91667824 -.00818045  00000-0 -43111-2 0  9997,2 50803  53.2172 139.7460 0003464 234.9197 359.9830 15.81998684  2446
2022-01-19 04:00:00.999936,50803,15.81556378,0.00013510,53.2175,138.4915,304.8296,274.4996,-0.00811831,-0.00436950000000,1 50803U 22001A   22019.16667824 -.00811831  00000-0 -43695-2 0  9998,2 50803  53.2175 138.4915 0001351 304.8296 274.4996 15.81556378  3232
