start_epoch,end_epoch,input_rx,input_ry,input_rz,input_vx,input_vy,input_vz,bstar,ndot,dt_minutes,err_rx,err_ry,err_rz,err_vx,err_vy,err_vz,date_only,DATE,Kp,F10.7_OBS
2022-01-14 04:00:00,2022-01-15 04:00:00,-4324.934714917095,-2064.325998947259,4675.454212127003,5.454000124476308,-4.543176177753409,3.0039265928553536,-0.0027385,-0.00902696,1440.0,7.58056301041961,-3.500319138767736,0.5314006373364464,0.0041743078638836,-0.0016425738260394,0.0001909226863245,2022-01-14,2022-01-14,5.7,110.2
2022-01-14 12:00:00,2022-01-15 12:00:00,5678.910624061067,-3313.201447140237,1102.8215719107386,3.244862779136119,3.5500236398052736,-6.073286664488571,-0.0027436,-0.00869908,1440.0,2.868706328279586,-6.536365906893025,6.7499796090346535,0.0053650451888911,-0.0085228212870775,0.0077839546880111,2022-01-14,2022-01-14,5.7,110.2
2022-01-14 14:00:01,2022-01-15 14:00:01,-55.35983166251855,4242.632816094992,-5172.009307362684,-7.310725804457923,1.8801166570971573,1.5892770648248138,-0.0029,-0.00911749,1440.0,6.732712371804347,-2.621905290800896,-0.3852740410684419,-0.0016243086650256,0.0006224877096816,-0.0001472723503974,2022-01-14,2022-01-14,5.7,110.2
2022-01-14 20:00:01,2022-01-15 20:00:01,1163.7663434783562,3858.961062760047,-5335.474920269187,-7.142593175581145,2.8808186710745343,0.4979677513049968,-0.0029551,-0.00903457,1440.0,15.254425863941153,-6.191910434250076,-1.0474155551146396,0.0018431532303466,0.0064493875926845,-0.0090760852763033,2022-01-14,2022-01-14,5.7,110.2
2022-01-14 22:00:00,2022-01-15 20:00:01,1160.4440474472476,3860.377079626701,-5335.27285710392,-7.143363060779239,2.8781122839757773,0.5017507846827108,-0.0030252,-0.00916604,1320.0166666666669,18.576721895049783,-7.607927300904521,-1.2494787203822852,0.002613038428441,0.0091557746914414,-0.0128591186540173,2022-01-14,2022-01-14,5.7,110.2
2022-01-18 04:00:01,2022-01-19 04:00:00,5569.265397954316,-1521.6525803271002,-3410.3469094418265,-1.3058714612230284,5.914743952121536,-4.7702748686531375,-0.0039533,-0.00800932,1439.9833333333331,2.8809805137916555,-3.7628029972365766,1.3352310783880057,0.0065940501962016,-0.0039326640664691,-0.0020783340155681,2022-01-18,2022-01-18,5.0,114.5
2022-01-18 14:00:01,2022-01-19 14:00:01,-4104.97469999479,-1376.6933119729408,5115.9319928115565,4.3662745246527495,-6.077510565372341,1.8616700977597849,-0.0043167,-0.00840654,1440.0,5.459549214924664,-8.076958121884218,2.7362032208711757,0.0056106387428691,0.0023053446319245,-0.0072302092686797,2022-01-18,2022-01-18,5.0,114.5
2022-01-18 20:00:01,2022-01-19 22:00:00,4170.698152993171,-5173.561938448669,907.4985257207842,4.15222722224094,2.273226767442968,-6.089717774691834,-0.0043979,-0.00838941,1559.9833333333331,1.960564921922014,0.533540290435667,-2.2874872428370736,-0.0016322129140542,0.0014745515374334,0.0001773526664008,2022-01-18,2022-01-18,5.0,114.5
2022-01-18 22:00:00,2022-01-19 22:00:00,4173.617260018532,-5171.586398940476,902.7530793854644,4.148510940428415,2.2781622181977697,-6.090857297123557,-0.0043111,-0.00818045,1440.0,-0.9585421034389584,-1.4419992177572567,2.4579590924826107,0.0020840688984709,-0.0034608992173685,0.0013168750981238,2022-01-18,2022-01-18,5.0,114.5
2022-01-19 04:00:00,2022-01-20 04:00:00,2805.6805591441225,-5590.855322618863,2421.799273241815,5.385146606043963,0.3056577477298762,-5.511487319269,-0.0043695,-0.00811831,1440.0,-3.7352165939187216,0.2695019948523622,3.5273114793835703,0.0030988375409588,-0.0051021833141514,0.0018553654750252,2022-01-19,2022-01-19,5.300000000000001,105.3
2022-01-19 14:00:01,2022-01-20 14:00:01,-4624.537493653605,4851.652712647642,347.0522376757618,-3.121853856796432,-3.4216192364227926,6.163386047713423,-0.0040726,-0.00736639,1440.0,11.02402391682972,11.307043500414691,-21.329060258142363,-0.0184314637555811,0.018739598468604,0.0019786529632588,2022-01-19,2022-01-19,5.300000000000001,105.3
2022-01-19 22:00:00,2022-01-20 22:00:00,-2363.406025507248,-3361.286938787748,5301.305912274519,5.432562651479594,-5.379459340644982,-0.9875336262346228,-0.0047854,-0.0083477,1440.0,2.6378190389114025,-0.8233879364211134,-1.9635548164797,0.0024107609590497,-0.0006413620735319,-0.0017639040306927,2022-01-19,2022-01-19,5.300000000000001,105.3
2022-02-03 06:00:00,2022-02-04 06:00:00,3935.832728097359,5405.668928160183,-749.2974390347171,-3.3505086331055622,3.2773586026355104,6.109143932842489,5.0168e-05,6.435e-05,1440.0,-2.592650357810726,2.3171570497379435,4.368994024241033,-0.0036301880957618,-0.0048692197098976,0.0008320665623946,2022-02-03,2022-02-03,5.300000000000001,126.5
2022-02-03 14:00:01,2022-02-04 14:00:01,-2773.747436034684,3034.892887665402,5315.397385473079,-4.732994555751652,-6.001652189884963,0.9560991357307048,-0.0001961,-0.00028131,1440.0,-9.296741935607317,-11.884537427070882,1.7668410266960564,0.0071633560658934,-0.0078087799925734,-0.0135867027775171,2022-02-03,2022-02-03,5.300000000000001,126.5
2022-02-03 22:00:01,2022-02-04 22:00:00,-4326.452702623299,-5070.573080395707,919.3208371684024,2.98969510309057,-3.663834888341031,-6.076650241359627,-3.7672e-05,-5.91e-05,1439.9833333333331,-0.4475689786740986,0.3108569315963905,0.8927655399194236,-0.0007110029509416,-0.0008355299593945,0.000296604501484,2022-02-03,2022-02-03,5.300000000000001,126.5
