start_epoch,end_epoch,input_rx,input_ry,input_rz,input_vx,input_vy,input_vz,bstar,ndot,dt_minutes,f107,err_rx,err_ry,err_rz,err_vx,err_vy,err_vz
2022-01-11 20:00:01.000224,2022-01-12 22:00:00.999936,3628.807264334572,-3756.8618985461244,4108.876524020204,6.395974338465851,1.8885352172352692,-3.96770537851412,-0.0020449,-0.00918374,1559.9999952,103.2,11.708617915714058,-0.8606430427353189,-1.4774015383281949,-0.00862334168656087,0.0014793838653954783,0.00027021188573961297
2022-01-12 14:00:01.000224,2022-01-13 14:00:01.000224,-6363.381245913821,2022.2957846876548,-668.8957126113074,-1.9872121636025166,-4.222748642166472,6.113543244178168,-0.0022936,-0.00925089,1440.0,105.5,7.003889864269695,-2.2048965309363666,0.48598861922118886,-0.0020490110297493036,-0.004726176409918459,0.006710713482570796
2022-01-12 22:00:00.999936,2022-01-13 22:00:00.999936,418.2605936561769,-4145.645882848954,5206.644704974715,7.547137981409479,-0.942951831019536,-1.3997542759802257,-0.0022722,-0.00876291,1440.0,105.5,3.9827927711957045,-1.6567129867989934,0.7924084046417192,-0.0017838873720004145,-0.0016629412524383769,0.0030315524657111848
2022-01-13 12:00:00.999648,2022-01-14 12:00:00.999648,6257.0661555473425,-254.67736902124525,-2258.7286485393984,-1.8152730387712317,5.012283200140529,-5.631059605655333,-0.002438,-0.00872161,1440.0,110.2,10.149709224321668,-11.253393745479144,10.32085779937097,0.01642859873226632,-0.005480556420856431,2.584649232417746e-07
2022-01-13 14:00:01.000224,2022-01-14 14:00:01.000224,-4249.245702206669,4007.2735400851807,-3288.500227397409,-5.639970866173517,-1.9533843889264932,4.864990105199939,-0.0026058,-0.0092223,1440.0,110.2,9.365438190386158,-1.3341721855399555,-2.4486585958143223,-0.007510206351493132,0.0010014956541453124,0.0017590327604457556
2022-01-13 22:00:00.999936,2022-01-14 20:00:01.000224,-3369.037794020816,4292.625117535831,-3886.4487951250676,-6.337268553294942,-1.09845115655409,4.240441441240017,-0.0026374,-0.00896739,1320.0000048,110.2,12.963137854374509,-0.971357822832033,-4.810363978588612,-0.00902844503255551,0.0054296491990546425,-0.0029575341651888465
2022-01-14 04:00:00.999936,2022-01-15 04:00:00.999936,-4324.934714917095,-2064.325998947259,4675.454212127003,5.454000124476308,-4.543176177753409,3.0039265928553536,-0.0027385,-0.00902696,1440.0,110.2,7.58056301041961,-3.500319138767736,0.5314006373364464,0.0041743078638836195,-0.001642573826039495,0.00019092268632459053
2022-01-14 12:00:00.999648,2022-01-15 12:00:00.999648,5678.910624061067,-3313.201447140237,1102.8215719107386,3.244862779136119,3.5500236398052736,-6.073286664488571,-0.0027436,-0.00869908,1440.0,115.6,2.868706328279586,-6.536365906893025,6.7499796090346535,0.005365045188891138,-0.008522821287077598,0.007783954688011185
2022-01-14 14:00:01.000224,2022-01-15 14:00:01.999872,-62.66795326688037,4244.509458459364,-5170.417145298246,-7.310647523826148,1.8744853657430978,1.5961596969178489,-0.0029,-0.00911749,1440.0166608,115.6,14.04083397616617,-4.498547655173752,-1.977436105506058,-0.0017025892968005607,0.006253779063741138,-0.007029904443432766
2022-01-14 20:00:01.000224,2022-01-15 20:00:01.000224,1163.7663434783562,3858.961062760047,-5335.474920269187,-7.142593175581145,2.8808186710745343,0.4979677513049968,-0.0029551,-0.00903457,1440.0,115.6,15.254425863941151,-6.191910434250076,-1.0474155551146396,0.0018431532303466724,0.006449387592684541,-0.009076085276303325
2022-01-14 22:00:00.999936,2022-01-15 20:00:01.000224,1167.5845852366788,3857.4972348472766,-5335.770913833803,-7.141816700038848,2.883238650556381,0.49464185293181007,-0.0030252,-0.00916604,1320.0000048,115.6,11.436184105618622,-4.7280825214797915,-0.751421990498784,0.0010666776880494666,0.004029408110837629,-0.005750186903116572
2022-01-15 04:00:00.999936,2022-01-16 04:00:00.999936,-6254.485215068184,1571.171935298662,1838.9485070588576,0.4413596916698349,-5.0544534427224255,5.796195231739374,-0.0031097,-0.00916343,1440.0,115.6,6.174835295935736,-3.114509721509876,-0.09417395270475026,0.001151392941303786,-0.00506068894833156,0.005467085614170308
2022-01-15 14:00:01.999872,2022-01-16 14:00:01.000224,4487.681081116685,1562.2048587579452,-4698.712302693638,-4.8974117224487514,5.1860592651923625,-2.969131142780245,-0.0031732,-0.00894828,1439.9833392,119.4,12.37405854626013,-9.367555247150676,3.235599507913321,0.010506561042520346,-0.00034304086187386673,-0.00655004198287612
2022-01-15 20:00:01.000224,2022-01-16 22:00:00.999936,-5098.850017642809,4138.844783310162,-1352.7505194864368,-3.9285848681279045,-2.876715235664705,5.973332589401493,-0.0032212,-0.00885477,1559.9999952,119.4,12.365182538091176,1.6904047903017272,-10.406425669770442,-0.014597321900567728,0.0060638983608622965,0.0026775636073512743
2022-01-15 22:00:01.999584,2022-01-16 22:00:00.999936,-5093.201434580036,4142.761998999178,-1361.017126688248,-3.938041658137007,-2.8693305280130286,5.971081137592547,-0.0033873,-0.00924007,1439.9833392,119.4,6.716599475318617,-2.226810898714575,-2.1398184679592305,-0.005140531891465461,-0.001320809290814129,0.004929015416297311
2022-01-16 14:00:01.000224,2022-01-17 14:00:01.000224,5901.594647085207,-2967.6965069535227,-1055.036863054358,1.2373261933864916,4.619688619830815,-6.0685419249634185,-0.0034394,-0.00805625,1440.0,113.5,4.209168844423402,-7.594131333265523,5.538820900233077,0.007192824457924685,-0.008450974391537969,0.00401466001263362
