name,norad_id,tle_line1,tle_line2,epoch,category
STARLINK-32545,62135,1 62135U 24222X   25344.23632744  .00041331  00000+0  15002-2 0  9999,2 62135  43.0000 281.7631 0004471 236.8498 123.1925 15.27635607 59111,2025-12-10 05:40:18.690816,starlink
STARLINK-32554,62136,1 62136U 24222Y   25344.20037008  .00051795  00000+0  18771-2 0  9990,2 62136  43.0037 281.4916 0001836 276.3590  83.7052 15.27605026 59113,2025-12-10 04:48:31.974912,starlink
STARLINK-32570,62137,1 62137U 24222Z   25344.20678649  .00050527  00000+0  18303-2 0  9996,2 62137  43.0001 281.5413 0001080 266.5282  93.5446 15.27630338 59219,2025-12-10 04:57:46.352736,starlink
KONDOR-FKA NO. 2,62138,1 62138U 24223A   25344.27366560  .00006996  00000+0  33057-3 0  9996,2 62138  97.4329 185.4802 0001875  86.6995 273.4454 15.19721348 57011,2025-12-10 06:34:04.707840,other
STARLINK-32529,62139,1 62139U 24224A   25344.28104630  .00030987  00000+0  11290-2 0  9998,2 62139  43.0029 303.2788 0001497 271.2496  88.8185 15.27632174 58744,2025-12-10 06:44:42.400320,starlink
STARLINK-32464,62140,1 62140U 24224B   25344.22337001  .00063619  00000+0  22977-2 0  9996,2 62140  43.0033 303.6850 0001416 267.6864  92.3826 15.27634597 58736,2025-12-10 05:21:39.168864,starlink
STARLINK-32482,62141,1 62141U 24224C   25344.25020433  .00041285  00000+0  14994-2 0  9993,2 62141  43.0009 303.0210 0001403 273.6440  86.4251 15.27624790 58647,2025-12-10 06:00:17.654112,starlink
STARLINK-32454,62142,1 62142U 24224D   25344.18013785  .00035074  00000+0  12749-2 0  9993,2 62142  43.0016 311.1364 0001198 261.1930  98.8786 15.27660499 58706,2025-12-10 04:19:23.910240,starlink
STARLINK-32485,62143,1 62143U 24224E   25343.91637294  .00036556  00000+0  13299-2 0  9998,2 62143  43.0031 308.2775 0001483 250.1113 109.9579 15.27615783 58288,2025-12-09 21:59:34.622016,starlink
STARLINK-32388,62144,1 62144U 24224F   25343.98010644  .00045413  00000+0  16449-2 0  9992,2 62144  43.0039 312.2167 0001997 267.5173  92.5450 15.27673979 58674,2025-12-09 23:31:21.196416,starlink
STARLINK-32374,62145,1 62145U 24224G   25344.27205206  .00039309  00000+0  14288-2 0  9992,2 62145  42.9983 303.1859 0000980 283.2941  76.7801 15.27617122 58804,2025-12-10 06:31:45.297984,starlink
STARLINK-32384,62146,1 62146U 24224H   25344.27333217  .00036552  00000+0  13287-2 0  9992,2 62146  43.0054 303.1977 0001829 271.5023  88.5619 15.27642383 58806,2025-12-10 06:33:35.899488,starlink
STARLINK-32295,62147,1 62147U 24224J   25344.28361657  .00056762  00000+0  20513-2 0  9998,2 62147  43.0027 303.2731 0000959 256.0050 104.0695 15.27661636 58694,2025-12-10 06:48:24.471648,starlink
STARLINK-32479,62148,1 62148U 24224K   25344.26305431  .00061885  00000+0  22362-2 0  9991,2 62148  43.0021 303.1174 0001347 256.9918 103.0783 15.27629418 58748,2025-12-10 06:18:47.892384,starlink
STARLINK-32468,62149,1 62149U 24224L   25344.26176856  .00048873  00000+0  17698-2 0  9997,2 62149  43.0038 303.1051 0001775 285.9033  74.1623 15.27654118 58641,2025-12-10 06:16:56.803584,starlink
STARLINK-32629,62150,1 62150U 24224M   25344.23478614  .00045647  00000+0  16562-2 0  9998,2 62150  43.0007 302.9058 0001549 254.6414 105.4267 15.27616577 58805,2025-12-10 05:38:05.522496,starlink
STARLINK-32644,62151,1 62151U 24224N   25344.21693272 -.00014001  00000+0 -50011-3 0  9996,2 62151  43.0044 303.6315 0001429 278.1292  81.9398 15.27587301 58796,2025-12-10 05:12:22.987008,starlink
STARLINK-32623,62152,1 62152U 24224P   25344.18819229  .00059286  00000+0  21439-2 0  9998,2 62152  43.0006 306.8779 0001050 278.9861  81.0872 15.27622295 58693,2025-12-10 04:30:59.813856,starlink
STARLINK-32639,62153,1 62153U 24224Q   25344.27976994  .00033398  00000+0  12177-2 0  9997,2 62153  43.0025 303.2428 0001619 267.6480  92.4187 15.27579354 58647,2025-12-10 06:42:52.122816,starlink
STARLINK-32625,62154,1 62154U 24224R   25344.22207953  .00039175  00000+0  14268-2 0  9997,2 62154  43.0054 303.6676 0001870 246.6594 113.4061 15.27551222 58684,2025-12-10 05:19:47.671392,starlink
STARLINK-32635,62155,1 62155U 24224S   25344.18400084  .00035782  00000+0  13018-2 0  9995,2 62155  43.0008 311.1626 0001732 261.3838  98.6817 15.27621964 58544,2025-12-10 04:24:57.672576,starlink
STARLINK-32532,62156,1 62156U 24224T   25344.25405956  .00061728  00000+0  22303-2 0  9993,2 62156  43.0012 303.0456 0001672 278.5574  81.5088 15.27634273 58640,2025-12-10 06:05:50.745984,starlink
STARLINK-32503,62157,1 62157U 24224U   25344.23781553  .00039229  00000+0  14272-2 0  9999,2 62157  43.0033 310.7084 0001370 292.4003  67.6703 15.27586880 58282,2025-12-10 05:42:27.261792,starlink
STARLINK-32508,62158,1 62158U 24224V   25344.26562658  .00047966  00000+0  17379-2 0  9994,2 62158  43.0034 303.1343 0000651 272.0358  88.0419 15.27643089 58800,2025-12-10 06:22:30.136512,starlink
STARLINK-32524,62159,1 62159U 24224W   25344.26513511  .00035938  00000+0  13073-2 0  9992,2 62159  42.9991 306.5908 0001159 281.5770  78.4952 15.27625882 58606,2025-12-10 06:21:47.673504,starlink
